producto,presentacion,marca,categoria,catalogo,precio,fecha_registro,cadena_comercial,giro,nombre_comercial,direccion,estado,municipio,latitud,longitud
Acelga,Manojo,S/M,Hortalizas Frescas,Frutas y Legumbres,10.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Aguacate,1 Kg. Granel. Hass,S/M,Frutas Frescas,Frutas y Legumbres,98.5,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Alcachofa,1 Kg. Granel,S/M,Hortalizas Frescas,Frutas y Legumbres,185,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Apio,1 Kg. Granel,S/M,Hortalizas Frescas,Frutas y Legumbres,28.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Betabel,1 Kg. Granel,S/M,Hortalizas Frescas,Frutas y Legumbres,32.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Brócoli,1 Kg. Granel,S/M,Hortalizas Frescas,Frutas y Legumbres,42.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Calabaza,1 Kg. Granel. Italiana/japonesa (Larga),S/M,Hortalizas Frescas,Frutas y Legumbres,39.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Cebolla,1 Kg. Granel. Blanca Sin Rabo,S/M,Hortalizas Frescas,Frutas y Legumbres,32.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Cebolla,1 Kg. Granel. Morada,S/M,Hortalizas Frescas,Frutas y Legumbres,36.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Cebolla,Manojo. Cambray,S/M,Hortalizas Frescas,Frutas y Legumbres,10.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Champiñones,1 Kg. Granel,S/M,Hortalizas Frescas,Frutas y Legumbres,125,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Chayote,1 Kg. Granel. Sin Espinas,S/M,Hortalizas Frescas,Frutas y Legumbres,28.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Chile Fresco,1 Kg. Granel. Habanero,S/M,Hortalizas Frescas,Frutas y Legumbres,135,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Chile Fresco,1 Kg. Granel. Jalapeño o Cuaresmeño,S/M,Hortalizas Frescas,Frutas y Legumbres,5.7,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Chile Fresco,1 Kg. Granel. Poblano o para Rellenar,S/M,Hortalizas Frescas,Frutas y Legumbres,49.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Chile Fresco,1 Kg. Granel. Serrano,S/M,Hortalizas Frescas,Frutas y Legumbres,49.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Cilantro,Manojo,S/M,Hortalizas Frescas,Frutas y Legumbres,10.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Ciruela,1 Kg. Granel. Roja Moscatel,S/M,Frutas Frescas,Frutas y Legumbres,79.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Col,1 Kg. Granel. Blanca o Repollo,S/M,Hortalizas Frescas,Frutas y Legumbres,32.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Col,1 Kg. Granel. Morada,S/M,Hortalizas Frescas,Frutas y Legumbres,37.1,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Ejote,1 Kg. Granel. Verde,S/M,Hortalizas Frescas,Frutas y Legumbres,49.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Elote,Pieza,S/M,Hortalizas Frescas,Frutas y Legumbres,10.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
Espinacas,Manojo,S/M,Hortalizas Frescas,Frutas y Legumbres,10.9,2026/07/17,La Comer,Supermercado / Tienda de Autoservicio,Lacomer Sucursal el Olivar,De las Torres 446. Entre San Pablo y San Pedro. Col. San Jose del Olivar. Cp. 01770,Ciudad de México,Álvaro Obregón,19.33546,-99.227253
